id,title,description,availability,condition,price,link,image_link,brand,google_product_category
p1,French Lavender Seeds,Bring natural beauty and sweet lavender fragrance to your garden. High viability non-GMO organic heirloom seeds.,in stock,new,149.00 INR,https://example.com/products.html,https://example.com/assets/lavender_seeds.png,Organic Garden,Home & Garden > Lawn & Garden > Gardening > Plants > Seeds
p2,Stripe-Leafed Calathea,A beautiful stripe-leafed Calathea indoor live plant. Features striking patterned foliage that opens and closes with light cycles.,in stock,new,799.00 INR,https://example.com/products.html,https://example.com/assets/calathea_plant.png,Organic Garden,Home & Garden > Lawn & Garden > Gardening > Plants
p3,Organic Sweet Basil Seeds,Aromatic and delicious sweet basil seeds. Meticulously tested for high germination and rapid microgreen growth.,in stock,new,99.00 INR,https://example.com/products.html,https://example.com/assets/basil_seeds.png,Organic Garden,Home & Garden > Lawn & Garden > Gardening > Plants > Seeds
p4,Classic Brass Watering Can,Artisan brass watering can with an ergonomic loop handle. Designed for delicate direct sprout hydration and premium style.,in stock,new,1299.00 INR,https://example.com/products.html,https://example.com/assets/watering_can.png,Organic Garden,Home & Garden > Lawn & Garden > Gardening > Gardening Tools
p5,Sun Gold Cherry Tomato Seeds,High yield golden yellow cherry tomato seeds. Sweet flavor profile and sturdy vines perfect for patio pots.,in stock,new,129.00 INR,https://example.com/products.html,https://example.com/assets/hero_garden.png,Organic Garden,Home & Garden > Lawn & Garden > Gardening > Plants > Seeds
p6,Pastel Ceramic Hanging Pot,Handmade pastel green ceramic hanging planter pot. Equipped with natural jute hanging ropes and drainage plugs.,in stock,new,499.00 INR,https://example.com/products.html,https://example.com/assets/hero_garden.png,Organic Garden,Home & Garden > Lawn & Garden > Gardening > Gardening Tools
p7,Crimson Velvet Rose Seeds,Rare deep velvet crimson rose seeds. Striking red blooms to bring gothic elegance and deep color to your borders.,in stock,new,179.00 INR,https://example.com/products.html,https://example.com/assets/hero_garden.png,Organic Garden,Home & Garden > Lawn & Garden > Gardening > Plants > Seeds
p8,Bird of Paradise Plant,Beautiful tropical Strelitzia Bird of Paradise live indoor statement plant. Large paddle-shaped leaves bring jungle vibes.,in stock,new,1499.00 INR,https://example.com/products.html,https://example.com/assets/hero_garden.png,Organic Garden,Home & Garden > Lawn & Garden > Gardening > Plants
p9,Organic Liquid Kelp Fertilizer,Premium cold-processed liquid kelp seaweed fertilizer concentrate. Promotes robust root development and overall plant vitality.,in stock,new,399.00 INR,https://example.com/products.html,https://example.com/assets/hero_garden.png,Organic Garden,Home & Garden > Lawn & Garden > Gardening > Gardening Tools
p10,Heirloom Wildflower Seed Mix,Pollinator friendly heirloom wildflower seed mix. Perfect for establishing a natural bee and butterfly sanctuary.,in stock,new,249.00 INR,https://example.com/products.html,https://example.com/assets/hero_garden.png,Organic Garden,Home & Garden > Lawn & Garden > Gardening > Plants > Seeds
p11,Garden Herbs Starter Kit,Complete garden culinary herbs seed starter kit. Includes sweet basil, cilantro, flat-leaf parsley, and chives.,in stock,new,449.00 INR,https://example.com/products.html,https://example.com/assets/hero_garden.png,Organic Garden,Home & Garden > Lawn & Garden > Gardening > Plants > Seeds
p12,Swiss Cheese Monstera,Beautiful trending Monstera Adansonii Swiss Cheese indoor live plant. Fast-growing vining foliage with iconic natural leaf fenestrations.,in stock,new,899.00 INR,https://example.com/products.html,https://example.com/assets/hero_garden.png,Organic Garden,Home & Garden > Lawn & Garden > Gardening > Plants
